label,status,category,source_file,production_eligible
YR_FACE_00_ID_MASTER,LOCKED,CANONICAL,01_FACE_ID_MASTER.jpg,YES_CURRENT_NAT
YR_FACE_11_3Q_NEUTRAL_VIEWER_LEFT,LIBRARY_APPROVED,CORE_VIEW,125DB717-0742-462D-A6D7-2AB56D9FE27A.jpeg,NO
YR_FACE_12_SIDE_GLANCE_VIEWER_RIGHT,LIBRARY_APPROVED,CORE_GAZE,1F6C338F-4297-48A2-8643-9ABDF9A40109.jpeg,NO
YR_FACE_13_HEAD_TILT_NEUTRAL,LIBRARY_APPROVED,ANGLE_SUPPORT,1653516E-D294-46B2-96C7-125D6496D046.jpeg,NO
YR_FACE_20_TINY_SMILE,LIBRARY_APPROVED,EXPRESSION_SUPPORT,40676AE7-D82C-4A23-8632-945BD66E86EC.jpeg,NO
YR_FACE_30_OPPOSITE_3Q_GENERATED_REVIEW,EXPERIMENTAL_ID_DRIFT,ANGLE_SUPPORT,부드러운_흑발의_스튜디오_초상화.png,NO
YR_FACE_31_NEAR_PROFILE_GENERATED_REVIEW,EXPERIMENTAL_LOW_UTILITY_ID_DRIFT,ANGLE_SUPPORT,고요한_동양_여성의_옆모습_인물_사진.png,NO
YR_FACE_32_LOW_ANGLE_GENERATED_REVIEW,EXPERIMENTAL_ID_DRIFT,ANGLE_SUPPORT,imagegen.png,NO
YR_REJECT_90_STRONG_SMILE,EXCLUDED,ARCHIVE,20F9DEB5-9CCB-41D5-B7A9-2F307314F3AD.jpeg,NO
YR_REJECT_91_POUT_KISS,EXCLUDED,ARCHIVE,6999A40C-29D4-4DEA-97B2-8757F5E268C2.jpeg,NO
YR_REJECT_92_CHIN_DOWN_MOOD_ID_DRIFT,EXCLUDED,ARCHIVE,73FE0C12-E7C6-45AE-A7EF-4FFA5C18E898.jpeg,NO
